Date,Close
30/11/2020,"19.698,10"
1/12/2020,"18.770,70"
2/12/2020,"19.218,80"
3/12/2020,"19.433,30"
4/12/2020,"18.658,10"
5/12/2020,"19.146,50"
6/12/2020,"19.379,90"
7/12/2020,"19.170,70"
8/12/2020,"18.326,60"
9/12/2020,"18.546,00"
10/12/2020,"18.247,20"
11/12/2020,"18.023,60"
12/12/2020,"18.808,90"
13/12/2020,"19.176,80"
14/12/2020,"19.273,80"
15/12/2020,"19.434,90"
16/12/2020,"21.352,20"
17/12/2020,"22.825,40"
18/12/2020,"23.127,90"
19/12/2020,"23.844,00"
20/12/2020,"23.474,90"
21/12/2020,"22.728,50"
22/12/2020,"23.823,20"
23/12/2020,"23.257,90"
24/12/2020,"23.736,50"
25/12/2020,"24.689,60"
26/12/2020,"26.454,40"
27/12/2020,"26.261,30"
28/12/2020,"27.057,80"
29/12/2020,"27.376,00"
30/12/2020,"28.868,70"
31/12/2020,"28.949,40"
1/01/2021,"29.359,90"
2/01/2021,"32.193,30"
3/01/2021,"32.958,90"
4/01/2021,"32.022,60"
5/01/2021,"33.991,50"
6/01/2021,"36.793,20"
7/01/2021,"39.460,20"
8/01/2021,"40.599,30"
9/01/2021,"40.151,90"
10/01/2021,"38.192,20"
11/01/2021,"35.544,30"
12/01/2021,"34.076,10"
13/01/2021,"37.382,20"
14/01/2021,"39.175,70"
15/01/2021,"36.845,80"
16/01/2021,"36.019,50"
17/01/2021,"35.839,60"
18/01/2021,"36.613,20"
19/01/2021,"36.002,90"
20/01/2021,"35.476,30"
21/01/2021,"30.842,10"
22/01/2021,"33.000,50"
23/01/2021,"32.088,90"
24/01/2021,"32.241,30"
25/01/2021,"32.252,30"
26/01/2021,"32.502,10"
27/01/2021,"30.404,00"
28/01/2021,"33.374,80"
29/01/2021,"34.301,80"
30/01/2021,"34.283,10"
31/01/2021,"33.108,10"
1/02/2021,"33.515,70"
2/02/2021,"35.485,20"
3/02/2021,"37.646,80"
4/02/2021,"36.982,10"
5/02/2021,"38.297,60"
6/02/2021,"39.256,60"
7/02/2021,"38.852,90"
8/02/2021,"46.395,70"
9/02/2021,"46.508,60"
10/02/2021,"44.836,00"
11/02/2021,"47.990,70"
12/02/2021,"47.371,70"
13/02/2021,"47.168,70"
14/02/2021,"48.643,40"
15/02/2021,"47.936,30"
16/02/2021,"49.169,70"
17/02/2021,"52.079,20"
18/02/2021,"51.582,20"
19/02/2021,"55.906,60"
20/02/2021,"55.923,70"
21/02/2021,"57.433,80"
22/02/2021,"54.111,80"
23/02/2021,"48.911,20"
24/02/2021,"49.697,50"
25/02/2021,"46.928,50"
26/02/2021,"46.345,60"
27/02/2021,"46.136,70"
28/02/2021,"45.164,00"
1/03/2021,"49.595,50"
2/03/2021,"48.424,20"
3/03/2021,"50.395,10"
4/03/2021,"48.428,00"
5/03/2021,"48.792,50"
6/03/2021,"48.855,60"
7/03/2021,"50.982,30"
8/03/2021,"52.311,00"
9/03/2021,"54.879,00"
10/03/2021,"55.851,90"
11/03/2021,"57.799,50"
12/03/2021,"57.265,10"
13/03/2021,"61.195,30"
14/03/2021,"59.113,70"
15/03/2021,"55.791,30"
16/03/2021,"56.889,70"
17/03/2021,"58.913,50"
18/03/2021,"57.656,00"
19/03/2021,"58.088,00"
20/03/2021,"58.093,40"
21/03/2021,"57.383,80"
22/03/2021,"54.158,30"
23/03/2021,"54.452,50"
24/03/2021,"52.325,40"
25/03/2021,"51.322,30"
26/03/2021,"55.036,10"
27/03/2021,"55.862,90"
28/03/2021,"55.765,20"
29/03/2021,"57.616,20"
30/03/2021,"58.771,30"
31/03/2021,"58.763,70"
1/04/2021,"58.718,30"
2/04/2021,"58.977,30"
3/04/2021,"57.059,90"
4/04/2021,"58.199,90"
5/04/2021,"58.993,40"
6/04/2021,"57.996,30"
7/04/2021,"55.948,70"
8/04/2021,"58.077,40"
9/04/2021,"58.118,70"
10/04/2021,"59.748,40"
11/04/2021,"59.978,70"
12/04/2021,"59.863,80"
13/04/2021,"63.540,90"
14/04/2021,"62.980,40"
15/04/2021,"63.216,00"
16/04/2021,"61.379,70"
17/04/2021,"60.041,90"
18/04/2021,"56.207,10"
19/04/2021,"55.646,10"
20/04/2021,"56.483,20"
21/04/2021,"53.820,20"
22/04/2021,"51.729,50"
23/04/2021,"51.143,60"
24/04/2021,"50.088,90"
25/04/2021,"48.963,60"
26/04/2021,"54.020,50"
27/04/2021,"55.036,50"
28/04/2021,"54.841,40"
29/04/2021,"53.560,80"
30/04/2021,"57.720,30"
1/05/2021,"57.807,10"
2/05/2021,"56.603,80"
3/05/2021,"57.169,80"
4/05/2021,"53.741,50"
5/05/2021,"57.441,30"
6/05/2021,"56.405,40"
7/05/2021,"57.337,20"
8/05/2021,"58.840,10"
9/05/2021,"58.238,30"
10/05/2021,"55.848,90"
11/05/2021,"56.695,70"
12/05/2021,"49.384,20"
13/05/2021,"49.704,60"
14/05/2021,"49.839,80"
15/05/2021,"46.708,80"
16/05/2021,"46.426,40"
17/05/2021,"43.541,30"
18/05/2021,"42.897,30"
19/05/2021,"36.720,50"
20/05/2021,"40.717,20"
21/05/2021,"37.297,40"
22/05/2021,"37.448,30"
23/05/2021,"34.679,70"
24/05/2021,"38.750,60"
25/05/2021,"38.378,30"
26/05/2021,"39.249,20"
27/05/2021,"38.417,30"
28/05/2021,"35.662,50"
29/05/2021,"34.584,60"
30/05/2021,"35.652,80"
31/05/2021,"37.298,60"
1/06/2021,"36.687,60"
2/06/2021,"37.555,80"
3/06/2021,"39.187,30"
4/06/2021,"36.851,30"
5/06/2021,"35.520,00"
6/06/2021,"35.815,40"
7/06/2021,"33.578,00"
8/06/2021,"33.382,90"
9/06/2021,"37.332,20"
10/06/2021,"36.649,40"
11/06/2021,"37.314,60"
12/06/2021,"35.467,50"
13/06/2021,"39.022,90"
14/06/2021,"40.529,40"
15/06/2021,"40.156,10"
16/06/2021,"38.336,00"
17/06/2021,"38.052,00"
18/06/2021,"35.749,40"
19/06/2021,"35.513,40"
20/06/2021,"35.595,80"
21/06/2021,"31.692,00"
22/06/2021,"32.496,40"
23/06/2021,"33.674,30"
24/06/2021,"34.665,80"
25/06/2021,"31.594,00"
26/06/2021,"32.243,40"
27/06/2021,"34.678,50"
28/06/2021,"34.475,90"
29/06/2021,"35.834,70"
30/06/2021,"35.026,90"
1/07/2021,"33.543,60"
2/07/2021,"33.813,40"
3/07/2021,"34.742,80"
4/07/2021,"35.298,20"
5/07/2021,"33.687,80"
6/07/2021,"34.225,60"
7/07/2021,"33.867,80"
8/07/2021,"32.866,30"
9/07/2021,"33.797,40"
10/07/2021,"33.510,60"
11/07/2021,"34.227,70"
12/07/2021,"33.113,00"
13/07/2021,"32.728,10"
14/07/2021,"32.820,70"
15/07/2021,"31.840,50"
16/07/2021,"31.394,00"
17/07/2021,"31.518,60"
18/07/2021,"31.785,40"
19/07/2021,"30.837,20"
20/07/2021,"29.793,80"
21/07/2021,"32.131,40"
22/07/2021,"32.298,90"
23/07/2021,"33.603,30"
24/07/2021,"33.824,80"
25/07/2021,"35.391,10"
26/07/2021,"37.276,60"
27/07/2021,"39.452,00"
28/07/2021,"40.003,20"
29/07/2021,"40.001,40"
30/07/2021,"42.203,40"
31/07/2021,"41.553,70"
1/08/2021,"39.878,30"
2/08/2021,"39.168,40"
3/08/2021,"38.130,30"
4/08/2021,"39.736,90"
5/08/2021,"40.867,20"
6/08/2021,"42.795,40"
7/08/2021,"44.614,20"
8/08/2021,"43.792,80"
9/08/2021,"46.284,30"
10/08/2021,"45.593,80"
11/08/2021,"45.564,30"
12/08/2021,"44.403,40"
13/08/2021,"47.809,10"
14/08/2021,"47.081,50"
15/08/2021,"46.991,30"
16/08/2021,"45.996,30"
17/08/2021,"44.691,60"
18/08/2021,"44.723,80"
19/08/2021,"46.755,90"
20/08/2021,"49.324,00"
21/08/2021,"48.875,80"
22/08/2021,"49.254,50"
23/08/2021,"49.539,70"
24/08/2021,"47.714,70"
25/08/2021,"48.994,50"
26/08/2021,"46.831,60"
27/08/2021,"49.064,30"
28/08/2021,"48.897,10"
29/08/2021,"48.777,40"
30/08/2021,"46.992,70"
31/08/2021,"47.130,40"
1/09/2021,"48.819,40"
2/09/2021,"49.274,30"
3/09/2021,"49.999,00"
4/09/2021,"49.918,40"
5/09/2021,"51.768,60"
6/09/2021,"52.672,10"
7/09/2021,"46.779,60"
8/09/2021,"46.061,40"
9/09/2021,"46.385,60"
10/09/2021,"44.842,80"
11/09/2021,"45.161,90"
12/09/2021,"46.062,30"
13/09/2021,"44.949,50"
14/09/2021,"47.077,50"
15/09/2021,"48.130,60"
16/09/2021,"47.748,00"
17/09/2021,"47.282,80"
18/09/2021,"48.306,70"
19/09/2021,"47.238,70"
20/09/2021,"42.870,60"
21/09/2021,"40.651,30"
22/09/2021,"43.551,60"
23/09/2021,"44.869,20"
24/09/2021,"42.819,90"
25/09/2021,"42.686,80"
26/09/2021,"43.203,40"
27/09/2021,"42.172,60"
28/09/2021,"41.022,30"
29/09/2021,"41.536,80"
30/09/2021,"43.823,30"
1/10/2021,"48.146,00"
2/10/2021,"47.666,90"
3/10/2021,"48.200,10"
4/10/2021,"49.227,30"
5/10/2021,"51.469,30"
6/10/2021,"55.323,20"
7/10/2021,"53.783,90"
8/10/2021,"53.914,70"
9/10/2021,"54.942,50"
10/10/2021,"54.687,70"
11/10/2021,"57.477,30"
12/10/2021,"56.015,90"
13/10/2021,"57.380,10"
14/10/2021,"57.345,80"
15/10/2021,"61.672,50"
16/10/2021,"60.861,10"
17/10/2021,"61.527,50"
18/10/2021,"62.056,30"
19/10/2021,"64.278,50"
20/10/2021,"65.979,10"
21/10/2021,"62.210,20"
22/10/2021,"60.690,30"
23/10/2021,"61.312,50"
24/10/2021,"60.866,50"
25/10/2021,"63.067,00"
26/10/2021,"60.310,80"
27/10/2021,"58.438,10"
28/10/2021,"60.582,50"
29/10/2021,"62.242,80"
30/10/2021,"61.840,10"
31/10/2021,"61.309,60"
1/11/2021,"60.915,30"
2/11/2021,"63.221,70"
3/11/2021,"62.918,50"
4/11/2021,"61.412,60"
5/11/2021,"60.974,30"
6/11/2021,"61.483,90"
7/11/2021,"63.273,20"
8/11/2021,"67.527,90"
9/11/2021,"66.904,40"
10/11/2021,"64.932,60"
11/11/2021,"64.806,70"
12/11/2021,"64.134,50"
13/11/2021,"64.398,60"
14/11/2021,"65.508,20"
15/11/2021,"63.597,90"
